filename,width,height,class,xmin,ymin,xmax,ymax
istockphoto-507995592-612x612.jpg,512,768,hair,290,24,505,181
pexels-photo-2287252.jpg,512,341,hair,98,105,290,230
depositphotos_160481380-stock-photo-young-handsome-man.jpg,512,768,hair,262,56,480,186
gettyimages-1065402040-612x612.jpg,512,768,hair,279,56,288,58
man-face-handsome-man-long-beard-mustache-man-face-handsome-man-long-beard-mustache-guy-bearded-man-isolated-117262768.jpg,512,341,hair,73,56,293,196
1716488477-harry-potter-daniel-radcliffe.jpg,512,354,hair,104,20,285,128
cb05f0ca5a29d510201e2c112aa2c0fa.jpg,512,512,hair,125,0,385,190
depositphotos_52521827-stock-photo-portrait-of-a-handsome-man.jpg,512,659,hair,188,16,471,198
man-7003421_1280.jpg,512,512,hair,119,0,424,191
360_F_245563558_XH9Pe5LJI2kr7VQuzQKAjAbz9PAyejG1.jpg,512,768,hair,284,24,512,177
czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvczkzLXBhLTU3OTgtam9iNTgzXzEuanBn.jpg,512,717,hair,237,55,473,202
pexels-david-garrison-1128051-2128807.jpg,512,799,hair,242,13,556,217
depositphotos_23493623-stock-photo-handsome-young-man.jpg,512,340,hair,57,26,278,187
360_F_862113547_0w5dxsH5FvR8FzRmfuYwgYHads5tWCj4.jpg,512,512,hair,150,30,365,164
666a4a9b90934cffeace53cb89777050.jpg,512,383,hair,57,13,338,174
depositphotos_13159713-stock-photo-young-man-face.jpg,512,564,hair,164,27,411,202
depositphotos_413464630-stock-photo-hipster-man-models-in-studio.jpg,512,768,hair,294,16,493,152
pexels-photo-2379005.jpeg,512,409,hair,74,69,281,208
handsome-young-black-man-serious-expression-face-close-up-portrait-45080832.jpg,512,767,hair,234,51,386,151
ai-generated-portrait-of-a-young-man-no-facial-expression-facing-the-camera-isolated-white-background-ai-generative-free-photo.jpg,512,385,hair,60,9,335,182
e6a7ebb273a8dc0c79d6017aead50906.jpg,512,341,hair,63,16,279,152
istockphoto-1356078583-612x612.jpg,512,682,hair,247,19,438,143
istockphoto-1062512408-612x612.jpg,512,768,hair,264,26,489,152
360_F_67541294_8n2wEL31UqmX41fm3oSuPas5uMopTi4S.jpg,512,669,hair,216,18,439,164
ai-generated-portrait-of-a-young-man-no-facial-expression-facing-the-camera-isolated-white-background-ai-generative-photo.jpg,512,385,hair,71,23,312,171
gettyimages-1334476335-612x612.jpg,512,768,hair,316,48,476,166
premium_photo-1675804300600-888042d9e90d.jpeg,512,341,hair,98,33,252,129
istockphoto-519543349-612x612.jpg,512,771,hair,62,176,68,179
depositphotos_484636362-stock-photo-portrait-handsome-young-man-smiling.jpg,512,768,hair,280,138,300,167
360_F_328194664_RKSHvMLgHphnD1nwQYb4QKcNeEApJmqa.jpg,512,768,hair,314,19,440,109
depositphotos_11412590-stock-photo-handsome-young-man.jpg,512,768,hair,105,20,385,202
gettyimages-1092658864-612x612.jpg,512,768,hair,300,41,485,172
360_F_497662812_7rGW6PMBJR9AbrKcGgN5S1luXYTjH92i.jpg,512,768,hair,310,41,462,144
istockphoto-1424275574-612x612.jpg,512,768,hair,277,63,494,193
young-man-in-white-shirt-standing-on-isolated-background-ai-generative-photo.jpg,512,768,hair,237,16,523,189
e4c59fdbb41ccd0f87dc0be871d91d98.jpg,512,341,hair,80,70,250,198
istockphoto-509198422-612x612.jpg,512,768,hair,350,48,573,182
360_F_303545914_XLEAix36kSd78qCl4XYhl2S1iYSA9IyW.jpg,512,768,hair,487,123,496,188
732ebdc8-63e5-4417-a362-cd67b9f8b213.jpg,512,512,hair,110,23,416,216
